Filename                           DATE      TIME       TimeSec  S  Irr    ChiSq      Fo        Fm        Fv    Fv/Fm   Fv/Fo    Sig      p       fmPQ   S   Alp1QA    Tau1QA  Alp2QA    Tau2QA  Alp3QA    Tau3QA  Alp4QA    Tau4QA  Alp1PQ   Tau1PQ  Alp2PQ    Tau2PQ  Alp3PQ    Tau3PQ 
7-29_RR2_01a                    07/29/2023  17:31:51  1693330311 |    0    3.8694    16.094    20.172     4.079  0.2022  0.2534  489.07  0.0000    21.220 |   0.4160      1024  0.4360      2809  0.1480    100000  0.0000         0  0.7712      4293  0.2288    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  17:34:50  1693330490 |    0    3.3037    16.390    20.508     4.117  0.2008  0.2512  444.64  0.0301    21.662 |   0.4120       741  0.4450      2274  0.1430    100000  0.0000         0  0.7646      4283  0.2354    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  17:37:49  1693330669 |    0    4.3888    16.128    20.033     3.905  0.1949  0.2421  434.29  0.0000    21.182 |   0.4290      1621  0.4010      2108  0.1700    100000  0.0000         0  0.7655      4067  0.2345    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  17:40:48  1693330848 |    0    4.4627    16.450    20.570     4.120  0.2003  0.2505  430.90  0.0000    21.565 |   0.4690      1575  0.3680      2047  0.1630    100000  0.0000         0  0.7975      4770  0.2025    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  17:43:47  1693331027 |    0    3.5208    16.493    20.267     3.774  0.1862  0.2288  464.55  0.1408    21.296 |   0.4110      1655  0.4400      2151  0.1490    100000  0.0000         0  0.7587      4970  0.2413    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  17:46:46  1693331206 |    0    4.1194    16.250    19.987     3.737  0.1870  0.2300  403.71  0.0000    20.886 |   0.5230       998  0.3150      3861  0.1620    100000  0.0000         0  0.7360      3847  0.2640    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  17:49:45  1693331385 |    0    5.5878    16.140    19.495     3.355  0.1721  0.2079  490.21  0.2502    20.816 |   0.4170       858  0.4080      3015  0.1750    100000  0.0000         0  0.7053      3551  0.2947    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  17:52:44  1693331564 |    0    5.1633    16.307    19.836     3.529  0.1779  0.2164  438.55  0.1440    20.857 |   0.3400       864  0.5020      2416  0.1580    100000  0.0000         0  0.7271      3491  0.2729    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  17:55:43  1693331743 |    0    3.0297    16.106    19.867     3.761  0.1893  0.2335  445.62  0.0825    20.903 |   0.3870      1498  0.4280      2090  0.1850    100000  0.0000         0  0.7405      4452  0.2595    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  17:58:42  1693331922 |    0    4.4946    16.324    20.280     3.955  0.1950  0.2423  472.51  0.1407    21.311 |   0.5120      1270  0.3360      4170  0.1520    100000  0.0000         0  0.7521      4208  0.2479    100000  0.0000         0
7-29_RR2_01a                    07/29/2023  18:01:41  1693332101 |    0    4.9673    16.339    20.101     3.762  0.1872  0.2303  390.78  0.0000    20.935 |   0.6580      1077  0.2090      5558  0.1330    100000  0.0000         0  0.7731      4560  0.2269    100000  0.0000         0
