stn,exp,lat,lon,cluster,composite_z,trt,tp,dt,days,hours,mean_cells_ml,sd_cells_ml,mean_gr_d,sd_gr_d,fgC_cell,fgN_cell,interp_fgC_cell,boc,interp_bocdoc,mean_toc,sd_toc,doc,toc_unc,mean_toc_unc,boc_rate,doc_rate,doc_rem,doc_bdl,bge,control_doc,amend_doc,amend_doc_bioav,bge_inclusion
16,PB16,34.21956,-119.5261,Low biomass,-5.6329711894272725,Control,2,2023-08-19T15:00:00Z,1.88,45.12,552072,5253,0.5220450610614275,0.002719861894939258,11.471120949889311,5.634936606963173,11.471120949889311,0.5277403904206077,FALSE,68.70045790577072,0.31685153418709616,68.17271751535012,0.1829343185560659,0.4,0.12035971184058801,0.42627421138840305,2.2326424363496358,FALSE,0.2823527875368499,68.17271751535012,0,NA,TRUE
16,PB16,34.21956,-119.5261,Low biomass,-5.6329711894272725,Control,3,2023-08-20T17:30:00Z,2.98,71.52,651020,21135,0.5220450610614275,0.002719861894939258,NA,NA,10.743959939371322,0.5828777333107932,TRUE,68.82624406929273,0.7464585727473608,68.24336633598193,0.43096805791459264,0.4,0.12035971184058801,0.42627421138840305,2.2326424363496358,FALSE,0.2823527875368499,68.24336633598193,0,NA,TRUE
16,PB16,34.21956,-119.5261,Low biomass,-5.6329711894272725,Control,4,2023-08-21T16:50:00Z,3.95,94.80000000000001,695607,19776,0.5220450610614275,0.002719861894939258,NA,NA,10.10369238294039,0.5856832622850012,TRUE,67.80632792673508,1.0356006876199586,67.22064466445008,0.5979043357703446,0.4,0.12035971184058801,0.42627421138840305,2.2326424363496358,FALSE,0.2823527875368499,67.22064466445008,0,NA,TRUE
16,PB16,34.21956,-119.5261,Low biomass,-5.6329711894272725,Control,5,2023-08-22T16:00:00Z,4.92,118.08,695168,30391,0.5220450610614275,0.002719861894939258,9.467998166198248,7.1425249323951725,9.467998166198248,0.548487445766642,FALSE,67.64595056824452,0.5129675313292095,67.09746312247788,0.2961619422984569,0.4,0.12035971184058801,0.42627421138840305,2.2326424363496358,FALSE,0.2823527875368499,67.09746312247788,0,NA,TRUE
16,PB16,34.21956,-119.5261,Low biomass,-5.6329711894272725,Thomas Fire Ash,0,2023-08-17T18:00:00Z,0,0,190310,27989,0.7260449213896796,0.04379103964594808,0.4432447287120622,3.102713100984447,0.4432447287120622,0.007029492026766047,FALSE,73.24657949906212,0.18955074758936225,73.23955000703536,0.10943717514581311,0.4,0.3564876333433109,1.105802638093396,5.2219739713294615,FALSE,0.32237907657550907,69.33010555882751,3.90944444820785,76.46435637038356,TRUE
16,PB16,34.21956,-119.5261,Low biomass,-5.6329711894272725,Thomas Fire Ash,1,2023-08-18T16:00:00Z,0.92,22.080000000000002,205126,6153,0.7260449213896796,0.04379103964594808,NA,NA,6.298796025093707,0.10767056945361432,TRUE,72.56733421604325,0.7944987897653126,72.45966364658963,0.45870409014183516,0.4,0.3564876333433109,1.105802638093396,5.2219739713294615,FALSE,0.32237907657550907,68.49184368754676,3.9678199590428704,76.46435637038356,TRUE
16,PB16,34.21956,-119.5261,Low biomass,-5.6329711894272725,Thomas Fire Ash,2,2023-08-19T15:00:00Z,1.88,45.12,537516,9555,0.7260449213896796,0.04379103964594808,12.420508744038155,5.589228934817172,12.420508744038155,0.5563518481717011,FALSE,71.78326713008937,0.1607468920645555,71.22691528191767,0.09280726140486684,0.4,0.3564876333433109,1.105802638093396,5.2219739713294615,FALSE,0.32237907657550907,68.17271751535012,3.0541977665675546,76.46435637038356,TRUE
16,PB16,34.21956,-119.5261,Low biomass,-5.6329711894272725,Thomas Fire Ash,3,2023-08-20T17:30:00Z,2.98,71.52,915820,121034,0.7260449213896796,0.04379103964594808,NA,NA,15.007980295292914,1.145384042836263,TRUE,70.58200926845416,0.4451768519279743,69.43662522561789,0.25702297529760615,0.4,0.3564876333433109,1.105802638093396,5.2219739713294615,FALSE,0.32237907657550907,68.24336633598193,1.1932588896359562,76.46435637038356,TRUE
16,PB16,34.21956,-119.5261,Low biomass,-5.6329711894272725,Thomas Fire Ash,4,2023-08-21T16:50:00Z,3.95,94.80000000000001,933888,116932,0.7260449213896796,0.04379103964594808,NA,NA,17.286257132875722,1.3452856751089202,TRUE,70.30318327264702,0.4998549425014299,68.95789759753809,0.28859138560896547,0.4,0.3564876333433109,1.105802638093396,5.2219739713294615,FALSE,0.32237907657550907,67.22064466445008,1.7372529330880155,76.46435637038356,TRUE
16,PB16,34.21956,-119.5261,Low biomass,-5.6329711894272725,Thomas Fire Ash,5,2023-08-22T16:00:00Z,4.92,118.08,994455,133148,0.7260449213896796,0.04379103964594808,19.548260564475793,8.016983265206365,19.548260564475793,1.6199887883038144,FALSE,69.63756482400971,1.2772264629787538,68.0175760357059,0.7374070422168971,0.4,0.3564876333433109,1.105802638093396,5.2219739713294615,FALSE,0.32237907657550907,67.09746312247788,0.9201129132280244,76.46435637038356,TRUE
