Current Date: 31-Aug-2023
Instrument Serial Number: 8470H50282
Software Name: InCyte
Version Number: 3.4


,,,,,,,,,,,,Gains,,,,,High Calibration,,,,
 Sample Number, Sample ID, Number of Events,  Termination Count, Count Gate, Dilution Factor, Original Volume, Cells/µL,  Total Volume (µL), Acquisition Time (s), Date of Acquisition, Time of Acquisition, FSC Gain, SSC, GRN-B, YEL-B, RED-B,  SSC,  GRN-B,  YEL-B,  RED-B, YEL-B - %GRN-B, RED-B - %GRN-B, GRN-B - %YEL-B, RED-B - %YEL-B, GRN-B - %RED-B, YEL-B - %RED-B, Threshold Parameter, Threshold Value, Flow Rate (µL/s), High Concentration Warning Trigger, # of Errors & Warnings, User Login Name, User Full Name, WorkList,
 43, B14-1GF75-2-0, 4929, 10000, All Events, 1, 0.2, 280.841607883342, 17.5508181894737, 29.7471494736842, 31-AUG-2023 , 08:53:45 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 44, B14-1DNA-2-0, 3361, 10000, All Events, 1, 0.2, 192.784207303219, 17.4340006736842, 29.5491536842105, 31-AUG-2023 , 08:54:53 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 45, B14-2GF75-2-0, 6425, 10000, All Events, 1, 0.2, 368.566979555975, 17.4323809684211, 29.5464084210526, 31-AUG-2023 , 08:56:01 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 46, B14-2DNA-2-0, 3636, 10000, All Events, 1, 0.2, 208.558576434874, 17.4339509894737, 29.5490694736842, 31-AUG-2023 , 08:57:09 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 47, B14-3GF75-2-0, 6028, 10000, All Events, 1, 0.2, 345.816923706562, 17.4311885473684, 29.544387368421, 31-AUG-2023 , 08:58:16 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 48, B14-3DNA-2-0, 2084, 10000, All Events, 1, 0.2, 118.732634497603, 17.5520404210526, 29.7492210526316, 31-AUG-2023 , 08:59:11 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 49, B14-4GF75-2-0, 5722, 10000, All Events, 1, 0.2, 328.20811120674, 17.4340602947368, 29.5492547368421, 31-AUG-2023 , 09:00:06 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 50, B14-4DNA-2-0, 2500, 10000, All Events, 1, 0.2, 143.387981811753, 17.435212968421, 29.5512084210526, 31-AUG-2023 , 09:01:01 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 51, B14-1GF75-5-0, 4577, 10000, All Events, 1, 0.2, 262.513071347596, 17.4353222736842, 29.5513936842105, 31-AUG-2023 , 09:01:55 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 52, B14-1DNA-5-0, 3241, 10000, All Events, 1, 0.2, 184.672433789533, 17.5499934315789, 29.7457515789474, 31-AUG-2023 , 09:02:46 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
